FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.89v,178,verso,"Bern, Burgerbibliothek, Cod. 318, 89v",urn:cite:ecodices:bbb318img.bbb318_089v
urn:cite:bla:bbb318.90r,179,recto,"Bern, Burgerbibliothek, Cod. 318, 90r",urn:cite:ecodices:bbb318img.bbb318_090r
urn:cite:bla:bbb318.90v,180,verso,"Bern, Burgerbibliothek, Cod. 318, 90v",urn:cite:ecodices:bbb318img.bbb318_090v
urn:cite:bla:bbb318.91r,181,recto,"Bern, Burgerbibliothek, Cod. 318, 91r",urn:cite:ecodices:bbb318img.bbb318_091r
urn:cite:bla:bbb318.91v,182,verso,"Bern, Burgerbibliothek, Cod. 318, 91v",urn:cite:ecodices:bbb318img.bbb318_091v
urn:cite:bla:bbb318.92r,183,recto,"Bern, Burgerbibliothek, Cod. 318, 92r",urn:cite:ecodices:bbb318img.bbb318_092r
urn:cite:bla:bbb318.92v,184,verso,"Bern, Burgerbibliothek, Cod. 318, 92v",urn:cite:ecodices:bbb318img.bbb318_092v
urn:cite:bla:bbb318.93r,185,recto,"Bern, Burgerbibliothek, Cod. 318, 93r",urn:cite:ecodices:bbb318img.bbb318_093r
urn:cite:bla:bbb318.93v,186,verso,"Bern, Burgerbibliothek, Cod. 318, 93v",urn:cite:ecodices:bbb318img.bbb318_093v
urn:cite:bla:bbb318.94r,187,recto,"Bern, Burgerbibliothek, Cod. 318, 94r",urn:cite:ecodices:bbb318img.bbb318_094r
urn:cite:bla:bbb318.94v,188,verso,"Bern, Burgerbibliothek, Cod. 318, 94v",urn:cite:ecodices:bbb318img.bbb318_094v
urn:cite:bla:bbb318.95r,189,recto,"Bern, Burgerbibliothek, Cod. 318, 95r",urn:cite:ecodices:bbb318img.bbb318_095r
